image,Subject Identifiability,Boundary Integrity,Semantic Consistency,Texture Translation,Palette Adherence,Scale Proportionality,Artifact Absence,Edge Smoothness,Media Mimicry,Visual Harmony,Compositional Resonance
river-near-mountains_view-of-segovia.jpg,True,True,True,True,True,True,True,True,True,True,True
windows_valley-of-aosta.jpg,True,True,True,True,True,True,True,True,True,True,True
elephant_boogie-woogie.jpg,False,False,False,True,True,False,True,True,True,True,False
green-mountains_the-wanderer.jpg,True,True,True,True,True,True,True,True,True,True,True
big-ben_stoke-by-nayland.jpg,True,True,True,True,True,True,True,True,True,True,True
green-mountains_cliff-walk-at-pourville.jpg,True,True,True,True,True,True,False,True,False,True,False
big-ben_trees-by-the-water.jpg,True,True,True,True,True,False,False,False,False,False,False
green-mountains_view-of-segovia.jpg,True,False,True,True,True,True,False,False,False,True,False
white-houses_valley-of-aosta.jpg,True,True,True,True,True,True,True,True,True,True,True
beige-building_stoke-by-nayland.jpg,True,True,True,True,True,True,False,False,True,True,True
green-mountains_valley-of-aosta.jpg,True,True,True,True,True,True,False,True,True,True,True
seashore_mont-sainte-victoire.jpg,True,True,True,True,True,True,False,False,True,True,False
seashore_the-wanderer.jpg,True,True,True,True,True,True,True,False,True,True,True
beige-building_cliff-walk-at-pourville.jpg,True,True,True,True,True,True,False,False,True,True,True
taj-mahal_valley-of-aosta.jpg,True,True,True,True,True,True,True,True,True,True,True
beige-building_valley-of-aosta.jpg,True,True,True,True,True,True,False,False,True,True,True
big-ben_boogie-woogie.jpg,False,False,False,True,True,False,True,False,True,True,False
elephant_stoke-by-nayland.jpg,True,False,False,False,True,True,False,True,False,False,False
green-mountains_painting-with-green-center.jpg,True,True,True,True,True,True,True,True,True,True,True
taj-mahal_view-of-segovia.jpg,True,True,True,True,True,True,False,False,True,True,True
elephant_mont-sainte-victoire.jpg,True,True,True,True,True,True,True,True,True,True,True
elephant_the-wanderer.jpg,True,True,True,True,True,True,True,True,True,True,True
seashore_view-of-segovia.jpg,True,True,True,True,True,True,True,False,True,True,True
big-ben_view-of-segovia.jpg,True,True,True,True,True,True,False,False,True,True,True
elephant_view-of-segovia.jpg,True,True,True,True,True,True,False,False,True,True,True
white-houses_trees-by-the-water.jpg,True,True,False,True,True,True,True,False,True,True,True
white-houses_stoke-by-nayland.jpg,True,True,False,True,True,True,True,False,True,True,True
seashore_trees-by-the-water.jpg,True,True,True,True,True,True,True,True,True,True,True
